symbol,security_name,gics_sector,gics_sub_industry,headquarters,date_added_index,cik,founded,source,as_of_utc
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,0000066740,1902,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,0000001800,1888,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0000002488,1969,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,0001090872,1999,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,0000002969,1940,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-09T17:29:17Z
